Name,Stance on crypto,Role,State,Party
Adam Gray,Strongly Supportive,Congressperson,California,Democratic
Glenn Grothman,Strongly Supportive,Congressperson,Wisconsin,Republican
Michael Guest,Strongly Supportive,Congressperson,Mississippi,Republican
Harriet Hageman,Strongly Supportive,Congressperson,Wyoming,Republican
Bill Hagerty,Strongly Supportive,Senator,Tennessee,Republican
Abraham Hamadeh,Strongly Supportive,Congressperson,Arizona,Republican
Mike Haridopolos,Strongly Supportive,Congressperson,Florida,Republican
Mark Harris,Strongly Supportive,Congressperson,North Carolina,Republican
Diana Harshbarger,Strongly Supportive,Congressperson,Tennessee,Republican
Kevin Hern,Strongly Supportive,Congressperson,Oklahoma,Republican
Daniel Hernandez,Strongly Supportive,Political Figure,Arizona,Democratic
Clay Higgins,Strongly Supportive,Congressperson,Louisiana,Republican
French Hill,Strongly Supportive,Congressperson,Arkansas,Republican
John Hoeven,Strongly Supportive,Senator,North Dakota,Republican
Erin Houchin,Strongly Supportive,Congressperson,Indiana,Republican
Richard Hudson Jr.,Strongly Supportive,Congressperson,North Carolina,Republican
Bill Huizenga,Strongly Supportive,Congressperson,Michigan,Republican
Wesley Hunt,Strongly Supportive,Congressperson,Texas,Republican
Jeff Hurd,Strongly Supportive,Congressperson,Colorado,Republican
Jon Husted,Strongly Supportive,Senator,Ohio,Republican
Darrell Issa,Strongly Supportive,Congressperson,California,Republican
Ronny Jackson,Strongly Supportive,Congressperson,Texas,Republican
Jonathan Jackson,Strongly Supportive,Congressperson,Illinois,Democratic
John James,Strongly Supportive,Congressperson,Michigan,Republican
Ron Johnson,Strongly Supportive,Senator,Wisconsin,Republican
Dusty Johnson,Strongly Supportive,Congressperson,South Dakota,Republican
Mike Johnson,Strongly Supportive,Congressperson,Louisiana,Republican
Jim Jordan,Strongly Supportive,Congressperson,Ohio,Republican
Dave Joyce,Strongly Supportive,Congressperson,Ohio,Republican
John Joyce,Strongly Supportive,Congressperson,Pennsylvania,Republican
Jim Justice,Strongly Supportive,Senator,West Virginia,Republican
Trent Kelly,Strongly Supportive,Congressperson,Mississippi,Republican
Mike Kelly Jr,Strongly Supportive,Congressperson,Pennsylvania,Republican
