Name,Stance on crypto,Role,State,Party
Shontel Brown,Strongly against,Congressperson,Ohio,Democratic
André Carson,Strongly against,Congressperson,Indiana,Democratic
Troy Carter Sr.,Strongly against,Congressperson,Louisiana,Democratic
Greg Casar,Strongly against,Congressperson,Texas,Democratic
Ed Case,Strongly against,Congressperson,Hawaii,Democratic
Sean Casten,Strongly against,Congressperson,Illinois,Democratic
Kathy Castor,Strongly against,Congressperson,Florida,Democratic
Joaquin Castro,Strongly against,Congressperson,Texas,Democratic
Judy Chu,Strongly against,Congressperson,California,Democratic
Gil Cisneros,Strongly against,Congressperson,California,Democratic
Yvette Clarke,Strongly against,Congressperson,New York,Democratic
Emanuel Cleaver II,Strongly against,Congressperson,Missouri,Democratic
Jim Clyburn,Strongly against,Congressperson,South Carolina,Democratic
Steve Cohen,Strongly against,Congressperson,Tennessee,Democratic
Gerry Connolly,Strongly against,Congressperson,Virginia,Democratic
Chris Coons,Strongly against,Senator,Delaware,Democratic
Joe Courtney,Strongly against,Congressperson,Connecticut,Democratic
Jason Crow,Strongly against,Congressperson,Colorado,Democratic
Sharice Davids,Strongly against,Congressperson,Kansas,Democratic
Danny Davis,Strongly against,Congressperson,Illinois,Democratic
Diana DeGette,Strongly against,Congressperson,Colorado,Democratic
Rosa DeLauro,Strongly against,Congressperson,Connecticut,Democratic
Mark DeSaulnier,Strongly against,Congressperson,California,Democratic
Madeleine Dean,Strongly against,Congressperson,Pennsylvania,Democratic
Chris Deluzio,Strongly against,Congressperson,Pennsylvania,Democratic
Maxine Dexter,Strongly against,Congressperson,Oregon,Democratic
Debbie Dingell,Strongly against,Congressperson,Michigan,Democratic
Lloyd Doggett,Strongly against,Congressperson,Texas,Democratic
Tammy Duckworth,Strongly against,Senator,Illinois,Democratic
Dick Durbin,Strongly against,Senator,Illinois,Democratic
Veronica Escobar,Strongly against,Congressperson,Texas,Democratic
Dwight Evans,Strongly against,Congressperson,Pennsylvania,Democratic
Lizzie Fletcher,Strongly against,Congressperson,Texas,Democratic
Bill Foster,Strongly against,Congressperson,Illinois,Democratic
Valerie Foushee,Strongly against,Congressperson,North Carolina,Democratic
Maxwell Frost,Strongly against,Congressperson,Florida,Democratic
John Garamendi,Strongly against,Congressperson,California,Democratic
Sylvia Garcia,Strongly against,Congressperson,Texas,Democratic
Chuy García,Strongly against,Congressperson,Illinois,Democratic
Al Green,Strongly against,Congressperson,Texas,Democratic
Jahana Hayes,Strongly against,Congressperson,Connecticut,Democratic
Mazie Hirono,Strongly against,Senator,Hawaii,Democratic
Steny Hoyer,Strongly against,Congressperson,Maryland,Democratic
Val Hoyle,Strongly against,Congressperson,Oregon,Democratic
Jared Huffman,Strongly against,Congressperson,California,Democratic
Glenn Ivey,Strongly against,Congressperson,Maryland,Democratic
Sara Jacobs,Strongly against,Congressperson,California,Democratic
Pramila Jayapal,Strongly against,Congressperson,Washington,Democratic
Hank Johnson,Strongly against,Congressperson,Georgia,Democratic
Tim Kaine,Strongly against,Senator,Virginia,Democratic
Marcy Kaptur,Strongly against,Congressperson,Ohio,Democratic
Bill Keating,Strongly against,Congressperson,Massachusetts,Democratic
Amy Klobuchar,Strongly against,Senator,Minnesota,Democratic
John Larson,Strongly against,Congressperson,Connecticut,Democratic
Summer Lee,Strongly against,Congressperson,Pennsylvania,Democratic
Teresa Leger Fernandez,Strongly against,Congressperson,New Mexico,Democratic
Ed Markey,Strongly against,Senator,Massachusetts,Democratic
Jennifer McClellan,Strongly against,Congressperson,Virginia,Democratic
Betty McCollum,Strongly against,Congressperson,Minnesota,Democratic
Jim McGovern,Strongly against,Congressperson,Massachusetts,Democratic
LaMonica McIver,Strongly against,Congressperson,New Jersey,Democratic
Jeff Merkley,Strongly against,Senator,Oregon,Democratic
Kweisi Mfume,Strongly against,Congressperson,Maryland,Democratic
Gwen Moore,Strongly against,Congressperson,Wisconsin,Democratic
Joe Morelle,Strongly against,Congressperson,New York,Democratic
Kelly Morrison,Strongly against,Congressperson,Minnesota,Democratic
Frank Mrvan,Strongly against,Congressperson,Indiana,Democratic
Chris Murphy,Strongly against,Senator,Connecticut,Democratic
Patty Murray,Strongly against,Senator,Washington,Democratic
Jerry Nadler,Strongly against,Congressperson,New York,Democratic
Richard Neal,Strongly against,Congressperson,Massachusetts,Democratic
Joe Neguse,Strongly against,Congressperson,Colorado,Democratic
Donald Norcross,Strongly against,Congressperson,New Jersey,Democratic
Alexandria Ocasio-Cortez,Strongly against,Congressperson,New York,Democratic
Ilhan Omar,Strongly against,Congressperson,Minnesota,Democratic
Frank Pallone Jr,Strongly against,Congressperson,New Jersey,Democratic
Gary Peters,Strongly against,Senator,Michigan,Democratic
Chellie Pingree,Strongly against,Congressperson,Maine,Democratic
Mark Pocan,Strongly against,Congressperson,Wisconsin,Democratic
Ayanna Pressley,Strongly against,Congressperson,Massachusetts,Democratic
JB Pritzker,Not Calculated,Governor,Illinois,Democratic
Delia Ramirez,Strongly against,Congressperson,Illinois,Democratic
Emily Randall,Strongly against,Congressperson,Washington,Democratic
Jamie Raskin,Strongly against,Congressperson,Maryland,Democratic
Dan Rayfield,Not Calculated,Attorney General,Oregon,Democratic
Jack Reed,Strongly against,Senator,Rhode Island,Democratic
Luz Maria Rivas,Strongly against,Congressperson,California,Democratic
Deborah Ross,Strongly against,Congressperson,North Carolina,Democratic
Andrea Salinas,Strongly against,Congressperson,Oregon,Democratic
Bernie Sanders,Strongly against,Senator,Vermont,Independent
Mary Scanlon,Strongly against,Congressperson,Pennsylvania,Democratic
Jan Schakowsky,Strongly against,Congressperson,Illinois,Democratic
David Scott,Strongly against,Congressperson,Georgia,Democratic
Bobby Scott,Strongly against,Congressperson,Virginia,Democratic
Jeanne Shaheen,Strongly against,Senator,New Hampshire,Democratic
Tina Smith,Strongly against,Senator,Minnesota,Democratic
Adam Smith,Strongly against,Congressperson,Washington,Democratic
Melanie Stansbury,Strongly against,Congressperson,New Mexico,Democratic
Mark Takano,Strongly against,Congressperson,California,Democratic
Bennie Thompson,Strongly against,Congressperson,Mississippi,Democratic
Rashida Tlaib,Strongly against,Congressperson,Michigan,Democratic
Jill Tokuda,Strongly against,Congressperson,Hawaii,Democratic
Paul Tonko,Strongly against,Congressperson,New York,Democratic
Norma Torres,Strongly against,Congressperson,California,Democratic
Lauren Underwood,Strongly against,Congressperson,Illinois,Democratic
Chris Van Hollen,Strongly against,Senator,Maryland,Democratic
Juan Vargas,Strongly against,Congressperson,California,Democratic
Nydia Velázquez,Strongly against,Congressperson,New York,Democratic
Maxine Waters,Strongly against,Congressperson,California,Democratic
Bonnie Watson Coleman,Strongly against,Congressperson,New Jersey,Democratic
Peter Welch,Strongly against,Senator,Vermont,Democratic
Sheldon Whitehouse,Strongly against,Senator,Rhode Island,Democratic
Nikema Williams,Strongly against,Congressperson,Georgia,Democratic
Frederica Wilson,Strongly against,Congressperson,Florida,Democratic
Ron Wyden,Strongly against,Senator,Oregon,Democratic
Kelly Ayotte,Not Calculated,Governor,New Hampshire,Republican
Andrew Bailey,Not Calculated,Attorney General,Missouri,Republican
Andy Beshear,Not Calculated,Governor,Kentucky,Democratic
David Bies,No Stance,Political Figure,Arizona,Democratic
Brenna Bird,Not Calculated,Attorney General,Iowa,Republican
Rob Bonta,Not Calculated,Attorney General,California,Democratic
Nick Brown,Not Calculated,Attorney General,Washington,Democratic
Anthony Brown,Not Enough Information,Political Figure,Maryland,Democratic
Derek Brown,Not Calculated,Attorney General,Utah,Republican
Daniel Butierez,No Stance,Political Figure,Arizona,Republican
Andrea Campbell,Not Calculated,Attorney General,Massachusetts,Democratic
Chris Carr,Not Calculated,Attorney General,Georgia,Republican
Charity Clark,Not Calculated,Attorney General,Vermont,Democratic
Russell Coleman,Not Calculated,Attorney General,Kentucky,Republican
Spencer Cox,Not Calculated,Governor,Utah,Republican
Mike DeWine,Not Calculated,Governor,Ohio,Republican
Gentner Drummond,Not Calculated,Attorney General,Oklahoma,Republican
Mike Dunleavy,Not Calculated,Governor,Alaska,Republican
Keith Ellison,Not Calculated,Attorney General,Minnesota,Democratic
Tony Evers,Not Calculated,Governor,Wisconsin,Democratic
Bob Ferguson,Not Calculated,Governor,Washington,Democratic
NFNative Son of AZ Fernandez,No Stance,Political Figure,Arizona,-
Lynn Fitch,Not Calculated,Attorney General,Mississippi,Republican
Aaron Ford,Not Calculated,Attorney General,Nevada,Democratic
JFJohn Formella,Not Calculated,Attorney General,New Hampshire,Republican
DFDeja Foxx,No Stance,Political Figure,Arizona,Democratic
AFAaron Frey,Not Calculated,Attorney General,Maine,Democratic
Greg Gianforte,Not Calculated,Governor,Montana,Republican
Jenniffer González-Colón,No Stance,Political Figure,Puerto Rico,Republican
Richard Grayson,No Stance,Political Figure,Arizona,Green
Josh Green,Not Calculated,Governor,Hawaii,Democratic
Tim Griffin,Not Calculated,Attorney General,Arkansas,Republican
Adelita Grijalva,No Stance,Political Figure,Arizona,Democratic
PHPatrick Harris,Not Enough Information,Political Figure,Arizona,-
GHG. Seville Hatch,No Stance,Political Figure,Arizona,Republican
Maura Healey,Not Calculated,Governor,Massachusetts,Democratic
Mike Hilgers,Not Calculated,Attorney General,Nebraska,Republican
BHBridget Hill,Not Calculated,Attorney General,Wyoming,Republican
Kathy Hochul,Not Calculated,Governor,New York,Democratic
Kay Ivey,Not Calculated,Governor,Alabama,Republican
Marty Jackley,Not Calculated,Attorney General,South Dakota,Republican
Letitia James,Not Calculated,Attorney General,New York,Democratic
Kathy Jennings,Not Calculated,Attorney General,Delaware,Democratic
Josh Kaul,Not Calculated,Attorney General,Wisconsin,Democratic
Mike Kehoe,Not Calculated,Governor,Missouri,Republican
Laura Kelly,Not Calculated,Governor,Kansas,Democratic
Brian Kemp,Not Calculated,Governor,Georgia,Republican
KKKimberlyn King-Hinds,No Stance,Congressperson,CNMI,Republican
,Not Calculated,Attorney General,Montana,Republican
Kris Kobach,Not Calculated,Attorney General,Kansas,Republican
Tina Kotek,Not Calculated,Governor,Oregon,Democratic
Raúl Labrador,Not Calculated,Attorney General,Idaho,Republican
Ned Lamont,Not Calculated,Governor,Connecticut,Democratic
Jeff Landry,Not Calculated,Governor,Louisiana,Republican
Bill Lee,Not Calculated,Governor,Tennessee,Republican
Brad Little,Not Calculated,Governor,Idaho,Republican
Joe Lombardo,No Stance,Governor,Nevada,Republican
VLVictor Longoria,No Stance,Political Figure,Arizona,Democratic
Michelle Lujan Grisham,Not Calculated,Governor,New Mexico,Democratic
JMJose Malvido,No Stance,Political Figure,Arizona,-
Steve Marshall,Not Calculated,Attorney General,Alabama,Republican
Kris Mayes,Not Calculated,Attorney General,Arizona,Democratic
JMJB McCuskey,Not Calculated,Attorney General,West Virginia,Republican
Dan McKee,Not Calculated,Governor,Rhode Island,Democratic
Henry McMaster,Not Calculated,Governor,South Carolina,Republican
Matt Meyer,Not Calculated,Governor,Delaware,Democratic
Janet Mills,Not Calculated,Governor,Maine,Democratic
Jason Miyares,Not Calculated,Attorney General,Virginia,Republican
Wes Moore,Not Calculated,Governor,Maryland,Democratic
Patrick Morrisey,Not Calculated,Governor,West Virginia,Republican
JMJim Moylan,No Stance,Congressperson,Guam,Republican
Phil Murphy,Not Calculated,Governor,New Jersey,Democratic
Peter Neronha,Not Calculated,Attorney General,Rhode Island,Democratic
Dana Nessel,Not Calculated,Attorney General,Michigan,Democratic
Gavin Newsom,Not Calculated,Governor,California,Democratic
Eleanor Norton,No Stance,Congressperson,District Of Columbia,Democratic
Arnold Palacios,Not Calculated,Governor,MP,Republican
JPJanet Parra Mercado,Not Calculated,Attorney General,Puerto Rico,-
Ken Paxton,Not Calculated,Attorney General,Texas,Republican
MPMatthew Platkin,Not Calculated,Attorney General,New Jersey,Democratic
ARAmata Radewagen,No Stance,Congressperson,American Samoa,Republican
Jake Rakov,No Stance,Political Figure,California,Democratic
Kwame Raoul,Not Calculated,Attorney General,Illinois,Democratic
Tate Reeves,Not Calculated,Governor,Mississippi,Republican
Kim Reynolds,Not Calculated,Governor,Iowa,Republican
Larry Rhoden,Not Calculated,Governor,South Dakota,Republican
Jorge Rivas,No Stance,Political Figure,Arizona,Republican
Jimmy Rodriguez,No Stance,Political Figure,Arizona,Republican
Todd Rokita,Not Calculated,Attorney General,Indiana,Republican
Sarah Sanders,Not Calculated,Governor,Arkansas,Republican
Phil Scott,Not Calculated,Governor,Vermont,Republican
Josh Shapiro,Not Calculated,Governor,Pennsylvania,Democratic
Josh Stein,Not Calculated,Governor,North Carolina,Democratic
Kevin Stitt,Not Calculated,Governor,Oklahoma,Republican
Dave Sunday,Not Calculated,Attorney General,Pennsylvania,Republican
Gary Swing,No Stance,Political Figure,Arizona,Green
TTTreg Taylor,Not Calculated,Attorney General,Alaska,Republican
William Tong,Not Calculated,Attorney General,Connecticut,Democratic
RTRaúl Torrez,Not Calculated,Attorney General,New Mexico,Democratic
RVRaul Verdugo,No Stance,Political Figure,Arizona,Republican
Tim Walz,Not Calculated,Governor,Minnesota,Democratic
Phil Weiser,Not Calculated,Attorney General,Colorado,Democratic
Gretchen Whitmer,Not Calculated,Governor,Michigan,Democratic
Alan Wilson,Not Calculated,Attorney General,South Carolina,Republican
Daniel Wood Wood,No Stance,Political Figure,Arizona,Independent
Drew Wrigley,Not Calculated,Attorney General,North Dakota,Republican
Dave Yost,Not Calculated,Attorney General,Ohio,Republican
Glenn Youngkin,Not Calculated,Governor,Virginia,Republican
Trista di Genova,Not Enough Information,Political Figure,Arizona,-
